"Informazioni cronologiche","A quale categoria appartieni?","Quanto saresti interessato/a ad avere accesso a una biblioteca digitale?","Per quali finalità useresti maggiormente la biblioteca digitale?","Quanto è importante per te poter accedere ai contenuti da qualsiasi dispositivo (computer, tablet, smartphone)?","Saresti disposto/a a registrarti con un account scolastico per accedere ai servizi digitali?","Quali contenuti riterresti più utili?","Quanto troveresti utile poter prendere in prestito libri digitali direttamente da casa?","Quale sarebbe la tua frequenza d’uso della biblioteca digitale?","Che livello di assistenza ti aspetteresti dalla biblioteca digitale?","Come giudichi la possibilità di affiancare la biblioteca digitale a quella tradizionale?","Quali funzionalità considereresti più importanti?","Attualmente, come acquisti o vendi principalmente i libri scolastici usati?","Quanto saresti interessato/a a utilizzare una piattaforma online specializzata solo per la compravendita di libri scolastici usati?","Quanto saresti disposto/a a risparmiare sull'acquisto di un libro usato rispetto al prezzo di copertina (nuovo)?","Saresti disposto/a a pagare una piccola commissione sul prezzo di vendita/acquisto per usufruire delle garanzie e dei servizi del sito (es. assistenza clienti o transazione sicura)?","Quale metodo di consegna/ritiro preferisci per le transazioni online?","Quale di queste funzionalità è la più importante per te in un sito di libri usati? ","Quanto è importante che il sito ti permetta di filtrare i libri per la tua specifica scuola, classe o indirizzo di studio?
"2025/12/11 10:32:01 AM CET","Docente","Molto interessato/a","Studio/Preparazione alle lezioni;Ricerca e approfondimento personale","Molto importante","Si, senza problemi","Ebook scolastici o accademici;Riviste, quotidiani o articoli digitali","Molto utile","Settimanale","Assistenza immediata via chat","Un grande miglioramento","Accesso rapido ai materiali scolastici/didattici","Mercatini dell'usato/Librerie fisiche","Molto interessato/a","Dal 31% al 50% di sconto","Si, anche con una commissione moderata (es. 5-10%)","Spedizione a domicilio tracciata (corriere/Poste)","Ricerca per codice ISBN (codice numerico posto sotto al codice a barre) e titolo","Estremamente importante","Ricevere un avviso via email/sms quando un utente lo mette in vendita (notifica)","Bassa",""
"2025/12/11 10:34:33 AM CET","Docente","Molto interessato/a","Studio/Preparazione alle lezioni","Molto importante","Si, senza problemi","Ebook scolastici o accademici;Riviste, quotidiani o articoli digitali","Molto utile","Settimanale","Assistenza tramite email","Un grande miglioramento","Accesso rapido ai materiali scolastici/didattici","Non acquisto/vendo libri usati","Abbastanza interessato/a","Non ho un aspettativa precisa","No, preferirei che il servizio fosse completamente gratuito per gli utenti","Spedizione a domicilio tracciata (corriere/Poste)","Sistema di valutazione/feedback sugli utenti (acquirenti e venditori)","Estremamente importante","Ricevere un avviso via email/sms quando un utente lo mette in vendita (notifica)","Media",""
"2025/12/11 10:52:09 AM CET","Docente","Molto interessato/a","Aggiornamento professionale;Ricerca e approfondimento personale","Abbastanza importante","Forse","Ebook scolastici o accademici;Riviste, quotidiani o articoli digitali","Molto utile","Mensile","Assistenza tramite email","Un grande miglioramento","Ricerca avanzata dei contenuti","Non acquisto/vendo libri usati","Poco interessato/a","Oltre il 50% di sconto","Si, purché sia una percentuale bassa (es. inferiore al 5%)","Ritiro a mano (in zona/concordato col venditore)","Garanzia di rimborso in caso di problemi (protezione dell'acquirente)","Abbastanza importante","Ricevere un avviso via email/sms quando un utente lo mette in vendita (notifica)","Media","Nella domanda: ""Quanto saresti disposto/a a risparmiare sull'acquisto di un libro usato rispetto al prezzo di copertina (nuovo)?"" risulta ovvio rispondere il più possibile."
"2025/12/11 10:56:07 AM CET","Docente","Molto interessato/a","Studio/Preparazione alle lezioni;Ricerca e approfondimento personale","Molto importante","Si, senza problemi","Ebook scolastici o accademici;Dispense o materiali prodotti dall'istituto","Abbastanza utile","Settimanale","Assistenza immediata via chat","Un grande miglioramento","Accesso rapido ai materiali scolastici/didattici","Non acquisto/vendo libri usati","Molto interessato/a","Non ho un aspettativa precisa","Si, purché sia una percentuale bassa (es. inferiore al 5%)","Spedizione a domicilio tracciata (corriere/Poste)","Garanzia di rimborso in caso di problemi (protezione dell'acquirente)","Poco importante","Ricevere suggerimenti per venditori che si trovano nella mia area geografica","Media",""
"2025/12/11 11:20:32 AM CET","Docente","Molto interessato/a","Aggiornamento professionale;Ricerca e approfondimento personale","Molto importante","Si, senza problemi","Ebook scolastici o accademici;Riviste, quotidiani o articoli digitali","Molto utile","Settimanale","Assistenza immediata via chat","Un servizio utile","Ricerca avanzata dei contenuti","sono una docente, ricevo la copia saggio dalla casa editrice!","Molto interessato/a","Non ho un aspettativa precisa","No, preferirei che il servizio fosse completamente gratuito per gli utenti","Ritiro a mano (in zona/concordato col venditore)","Ricerca per codice ISBN (codice numerico posto sotto al codice a barre) e titolo","Estremamente importante","Ricevere un avviso via email/sms quando un utente lo mette in vendita (notifica)","Media",""
"2025/12/11 11:24:26 AM CET","Studente","Abbastanza interessato/a","Studio/Preparazione alle lezioni;Acquisto/Vendita di libri","Molto importante","Si, senza problemi","Ebook scolastici o accademici;Audiolibri","Abbastanza utile","Settimanale","Assistenza immediata via chat","Un servizio utile","Accesso rapido ai materiali scolastici/didattici","Passaparola tra amici, colleghi o conoscenti della scuola","Abbastanza interessato/a","Dal 31% al 50% di sconto","Si, anche con una commissione moderata (es. 5-10%)","Ritiro a mano (in zona/concordato col venditore)","Ricerca per codice ISBN (codice numerico posto sotto al codice a barre) e titolo","Abbastanza importante","Ricevere suggerimenti per venditori che si trovano nella mia area geografica","Media","no"
"2025/12/11 11:26:14 AM CET","Studente","Molto interessato/a","Studio/Preparazione alle lezioni;Acquisto/Vendita di libri","Molto importante","Si, senza problemi","Ebook scolastici o accademici;Dispense o materiali prodotti dall'istituto","Molto utile","Settimanale","Assistenza immediata via chat","Un grande miglioramento","Accesso rapido ai materiali scolastici/didattici","Non acquisto/vendo libri usati","Estremamente interessato/a","Non ho un aspettativa precisa","Si, purché sia una percentuale bassa (es. inferiore al 5%)","Ritiro a mano (in zona/concordato col venditore)","Descrizione dettagliata e foto delle condizioni reali del libro","Estremamente importante","Ricevere un avviso via email/sms quando un utente lo mette in vendita (notifica)","Media",""
"2025/12/11 11:29:45 AM CET","Studente","Abbastanza interessato/a","Studio/Preparazione alle lezioni","Molto importante","Si, senza problemi","Ebook scolastici o accademici;Dispense o materiali prodotti dall'istituto","Molto utile","Settimanale","Assistenza tramite email","Un grande miglioramento","Accesso rapido ai materiali scolastici/didattici","Non acquisto/vendo libri usati","Abbastanza interessato/a","Dal 31% al 50% di sconto","No, preferirei che il servizio fosse completamente gratuito per gli utenti","È indifferente","Garanzia di rimborso in caso di problemi (protezione dell'acquirente)","Estremamente importante","Ricevere un avviso via email/sms quando un utente lo mette in vendita (notifica)","Alta",""
"2025/12/11 11:33:29 AM CET","Docente","Abbastanza interessato/a","Studio/Preparazione alle lezioni","Molto importante","Forse","Dispense o materiali prodotti dall'istituto","Abbastanza utile","Raramente o mai","Assistenza tramite email","Un servizio utile","Accesso rapido ai materiali scolastici/didattici","Gruppi social (Facebook, Telegram o Instagram) o piattaforme generiche (Subito, Ebay o Amazon)","Abbastanza interessato/a","Dal 31% al 50% di sconto","No, preferirei che il servizio fosse completamente gratuito per gli utenti","Utilizzo di punti ritiro/locker automatici","Descrizione dettagliata e foto delle condizioni reali del libro","Abbastanza importante","Ricevere suggerimenti per venditori che si trovano nella mia area geografica","Alta",""
"2025/12/11 11:34:31 AM CET","Studente","Abbastanza interessato/a","Studio/Preparazione alle lezioni","Molto importante","Si, senza problemi","Ebook scolastici o accademici;Audiolibri","Molto utile","Settimanale","Assistenza tramite email","Un grande miglioramento","Ricerca avanzata dei contenuti","Mercatini dell'usato/Librerie fisiche","Abbastanza interessato/a","Oltre il 50% di sconto","No, preferirei che il servizio fosse completamente gratuito per gli utenti","Spedizione a domicilio tracciata (corriere/Poste)","Garanzia di rimborso in caso di problemi (protezione dell'acquirente)","Abbastanza importante","Ricevere un avviso via email/sms quando un utente lo mette in vendita (notifica)","Media",""
"2025/12/11 11:40:24 AM CET","Personale ATA","Molto interessato/a","Ricerca e approfondimento personale","Molto importante","Si, senza problemi","Riviste, quotidiani o articoli digitali","Molto utile","Mensile","Assistenza tramite email","Un servizio utile","Possibilità di creare liste o preferiti","Non acquisto/vendo libri usati","Poco interessato/a","Non ho un aspettativa precisa","No, preferirei che il servizio fosse completamente gratuito per gli utenti","Spedizione a domicilio tracciata (corriere/Poste)","Descrizione dettagliata e foto delle condizioni reali del libro","Abbastanza importante","Non ho bisogno di questa funzionalità","Alta",""
"2025/12/11 11:42:43 AM CET","Docente","Abbastanza interessato/a","Studio/Preparazione alle lezioni;Ricerca e approfondimento personale","Molto importante","Si, senza problemi","Ebook scolastici o accademici;Riviste, quotidiani o articoli digitali","Molto utile","Settimanale","Assistenza tramite email","Un grande miglioramento","Accesso rapido ai materiali scolastici/didattici","Gruppi social (Facebook, Telegram o Instagram) o piattaforme generiche (Subito, Ebay o Amazon)","Poco interessato/a","Dal 31% al 50% di sconto","Si, purché sia una percentuale bassa (es. inferiore al 5%)","Utilizzo di punti ritiro/locker automatici","Ricerca per codice ISBN (codice numerico posto sotto al codice a barre) e titolo","Estremamente importante","Ricevere suggerimenti per venditori che si trovano nella mia area geografica","Bassa",""
"2025/12/11 11:48:48 AM CET","Docente","Poco interessato/a","Ricerca e approfondimento personale","Poco importante","No","Ebook scolastici o accademici","Abbastanza utile","Raramente o mai","Assistenza immediata via chat","Indifferente","Ricerca avanzata dei contenuti","Non acquisto/vendo libri usati","Per niente interessato/a","Non ho un aspettativa precisa","No, preferirei che il servizio fosse completamente gratuito per gli utenti","Ritiro a mano (in zona/concordato col venditore)","Garanzia di rimborso in caso di problemi (protezione dell'acquirente)","Estremamente importante","Non ho bisogno di questa funzionalità","Alta",""
"2025/12/11 11:49:27 AM CET","Docente","Abbastanza interessato/a","Studio/Preparazione alle lezioni;Aggiornamento professionale","Molto importante","Si, senza problemi","Ebook scolastici o accademici;Audiolibri","Abbastanza utile","Settimanale","FAQ e guide on-line","Un grande miglioramento","Accesso rapido ai materiali scolastici/didattici","Gruppi social (Facebook, Telegram o Instagram) o piattaforme generiche (Subito, Ebay o Amazon)","Abbastanza interessato/a","Non ho un aspettativa precisa","Si, purché sia una percentuale bassa (es. inferiore al 5%)","È indifferente","Ricerca per codice ISBN (codice numerico posto sotto al codice a barre) e titolo","Abbastanza importante","Ricevere un avviso via email/sms quando un utente lo mette in vendita (notifica)","Bassa",""
"2025/12/11 11:57:39 AM CET","Docente","Molto interessato/a","Aggiornamento professionale;Ricerca e approfondimento personale","Molto importante","Si, senza problemi","Audiolibri;Riviste, quotidiani o articoli digitali","Molto utile","Settimanale","Assistenza tramite email","Un grande miglioramento","Ricerca avanzata dei contenuti","Passaparola tra amici, colleghi o conoscenti della scuola","Abbastanza interessato/a","Dal 31% al 50% di sconto","Si, purché sia una percentuale bassa (es. inferiore al 5%)","Utilizzo di punti ritiro/locker automatici","Ricerca per codice ISBN (codice numerico posto sotto al codice a barre) e titolo","Molto importante","Ricevere suggerimenti per venditori che si trovano nella mia area geografica","Media",""
"2025/12/11 12:05:03 PM CET","Studente","Molto interessato/a","Studio/Preparazione alle lezioni;Acquisto/Vendita di libri","Molto importante","Si, senza problemi","Audiolibri","Molto utile","Quotidiana","Assistenza immediata via chat","Un servizio utile","Accesso rapido ai materiali scolastici/didattici","Mercatini dell'usato/Librerie fisiche","Molto interessato/a","Fino al 30% di sconto","No, preferirei che il servizio fosse completamente gratuito per gli utenti","Ritiro a mano (in zona/concordato col venditore)","Descrizione dettagliata e foto delle condizioni reali del libro","Abbastanza importante","Ricevere un avviso via email/sms quando un utente lo mette in vendita (notifica)","Assente","No questo basta "
"2025/12/11 12:34:00 PM CET","Docente","Molto interessato/a","Studio/Preparazione alle lezioni;Aggiornamento professionale","Molto importante","Si, senza problemi","Ebook scolastici o accademici;Audiolibri","Molto utile","Settimanale","FAQ e guide on-line","Un servizio utile","Accesso rapido ai materiali scolastici/didattici","Non acquisto/vendo libri usati","Molto interessato/a","Oltre il 50% di sconto","Si, purché sia una percentuale bassa (es. inferiore al 5%)","Utilizzo di punti ritiro/locker automatici","Ricerca per codice ISBN (codice numerico posto sotto al codice a barre) e titolo","Molto importante","Ricevere un avviso via email/sms quando un utente lo mette in vendita (notifica)","Bassa",""
"2025/12/11 1:05:53 PM CET","Studente","Poco interessato/a","Non la utilizzerei","Abbastanza importante","Si, senza problemi","Ebook scolastici o accademici","Abbastanza utile","Mensile","Assistenza tramite email","Un servizio utile","Accesso rapido ai materiali scolastici/didattici","Mercatini dell'usato/Librerie fisiche","Abbastanza interessato/a","Non ho un aspettativa precisa","No, preferirei che il servizio fosse completamente gratuito per gli utenti","Spedizione a domicilio tracciata (corriere/Poste)","Ricerca per codice ISBN (codice numerico posto sotto al codice a barre) e titolo","Abbastanza importante","Non ho bisogno di questa funzionalità","Media","no"
"2025/12/11 1:09:39 PM CET","Studente","Poco interessato/a","Studio/Preparazione alle lezioni","Abbastanza importante","Forse","Riviste, quotidiani o articoli digitali","Molto utile","Settimanale","Assistenza immediata via chat","Un servizio utile","Ricerca avanzata dei contenuti","Gruppi social (Facebook, Telegram o Instagram) o piattaforme generiche (Subito, Ebay o Amazon)","Molto interessato/a","Dal 31% al 50% di sconto","No, preferirei che il servizio fosse completamente gratuito per gli utenti","È indifferente","Ricerca per codice ISBN (codice numerico posto sotto al codice a barre) e titolo","Abbastanza importante","Ricevere suggerimenti per venditori che si trovano nella mia area geografica","Alta",""
"2025/12/11 1:22:11 PM CET","Docente","Molto interessato/a","Aggiornamento professionale;Ricerca e approfondimento personale","Molto importante","Si, senza problemi","Riviste, quotidiani o articoli digitali","Molto utile","Mensile","Assistenza immediata via chat","Un grande miglioramento","Accesso rapido ai materiali scolastici/didattici","Mercatini dell'usato/Librerie fisiche","Abbastanza interessato/a","Dal 31% al 50% di sconto","Si, purché sia una percentuale bassa (es. inferiore al 5%)","Spedizione a domicilio tracciata (corriere/Poste)","Descrizione dettagliata e foto delle condizioni reali del libro","Molto importante","Ricevere un avviso via email/sms quando un utente lo mette in vendita (notifica)","Alta",""
"2025/12/11 1:53:54 PM CET","Personale ATA","Abbastanza interessato/a","Ricerca e approfondimento personale","Molto importante","Si, senza problemi","Ebook scolastici o accademici","Molto utile","Settimanale","Assistenza immediata via chat","Un servizio utile","Ricerca avanzata dei contenuti","Mercatini dell'usato/Librerie fisiche","Molto interessato/a","Oltre il 50% di sconto","No, preferirei che il servizio fosse completamente gratuito per gli utenti","Spedizione a domicilio tracciata (corriere/Poste)","Ricerca per codice ISBN (codice numerico posto sotto al codice a barre) e titolo","Abbastanza importante","Ricevere un avviso via email/sms quando un utente lo mette in vendita (notifica)","Alta",""
"2025/12/11 2:09:35 PM CET","Studente","Abbastanza interessato/a","Studio/Preparazione alle lezioni","Molto importante","Si, senza problemi","Dispense o materiali prodotti dall'istituto","Molto utile","Settimanale","Nessuna assistenza necessaria","Un servizio utile","Accesso rapido ai materiali scolastici/didattici","Non acquisto/vendo libri usati","Per niente interessato/a","Oltre il 50% di sconto","Si, anche con una commissione moderata (es. 5-10%)","Spedizione a domicilio tracciata (corriere/Poste)","Garanzia di rimborso in caso di problemi (protezione dell'acquirente)","Abbastanza importante","Ricevere suggerimenti per venditori che si trovano nella mia area geografica","Media",""
"2025/12/11 2:13:22 PM CET","Studente","Molto interessato/a","Studio/Preparazione alle lezioni;Acquisto/Vendita di libri","Molto importante","Si, senza problemi","Ebook scolastici o accademici;Dispense o materiali prodotti dall'istituto","Molto utile","Settimanale","Assistenza immediata via chat","Un grande miglioramento","Accesso rapido ai materiali scolastici/didattici","Non acquisto/vendo libri usati","Estremamente interessato/a","Non ho un aspettativa precisa","No, preferirei che il servizio fosse completamente gratuito per gli utenti","Utilizzo di punti ritiro/locker automatici","Descrizione dettagliata e foto delle condizioni reali del libro","Molto importante","Ricevere suggerimenti per venditori che si trovano nella mia area geografica","Media",""
"2025/12/11 2:24:00 PM CET","Docente","Abbastanza interessato/a","Studio/Preparazione alle lezioni;Aggiornamento professionale","Molto importante","Si, senza problemi","Ebook scolastici o accademici;Riviste, quotidiani o articoli digitali","Molto utile","Mensile","Assistenza tramite email","Un servizio utile","Accesso rapido ai materiali scolastici/didattici","Non acquisto/vendo libri usati","Poco interessato/a","Oltre il 50% di sconto","No, preferirei che il servizio fosse completamente gratuito per gli utenti","Spedizione a domicilio tracciata (corriere/Poste)","Descrizione dettagliata e foto delle condizioni reali del libro","Poco importante","Non ho bisogno di questa funzionalità","Alta",""
"2025/12/11 2:30:15 PM CET","Studente","Molto interessato/a","Studio/Preparazione alle lezioni;Ricerca e approfondimento personale","Molto importante","Si, senza problemi","Ebook scolastici o accademici;Dispense o materiali prodotti dall'istituto","Molto utile","Mensile","Assistenza immediata via chat","Un grande miglioramento","Accesso rapido ai materiali scolastici/didattici","Non acquisto/vendo libri usati","Estremamente interessato/a","Non ho un aspettativa precisa","No, preferirei che il servizio fosse completamente gratuito per gli utenti","È indifferente","Descrizione dettagliata e foto delle condizioni reali del libro","Molto importante","Non ho bisogno di questa funzionalità","Media",""
"2025/12/11 2:30:33 PM CET","Studente","Poco interessato/a","Studio/Preparazione alle lezioni;Acquisto/Vendita di libri","Molto importante","Si, senza problemi","Ebook scolastici o accademici;Dispense o materiali prodotti dall'istituto","Abbastanza utile","Raramente o mai","Assistenza immediata via chat","Un grande miglioramento","Accesso rapido ai materiali scolastici/didattici","Mercatini dell'usato/Librerie fisiche","Estremamente interessato/a","Non ho un aspettativa precisa","Si, purché sia una percentuale bassa (es. inferiore al 5%)","È indifferente","Descrizione dettagliata e foto delle condizioni reali del libro","Estremamente importante","Ricevere un avviso via email/sms quando un utente lo mette in vendita (notifica)","Bassa",""
"2025/12/11 2:34:19 PM CET","Studente","Abbastanza interessato/a","Studio/Preparazione alle lezioni;Ricerca e approfondimento personale","Abbastanza importante","Si, senza problemi","Ebook scolastici o accademici;Dispense o materiali prodotti dall'istituto","Abbastanza utile","Settimanale","Assistenza immediata via chat","Un servizio utile","Accesso rapido ai materiali scolastici/didattici","Non acquisto/vendo libri usati","Abbastanza interessato/a","Dal 31% al 50% di sconto","Si, purché sia una percentuale bassa (es. inferiore al 5%)","Utilizzo di punti ritiro/locker automatici","Descrizione dettagliata e foto delle condizioni reali del libro","Abbastanza importante","Ricevere un avviso via email/sms quando un utente lo mette in vendita (notifica)","Alta",""
"2025/12/11 2:44:50 PM CET","Studente","Abbastanza interessato/a","Studio/Preparazione alle lezioni;Acquisto/Vendita di libri","Abbastanza importante","Si, senza problemi","Audiolibri;Dispense o materiali prodotti dall'istituto","Molto utile","Settimanale","Assistenza immediata via chat","Un grande miglioramento","Accesso rapido ai materiali scolastici/didattici","Non acquisto/vendo libri usati","Poco interessato/a","Non ho un aspettativa precisa","Si, purché sia una percentuale bassa (es. inferiore al 5%)","Ritiro a mano (in zona/concordato col venditore)","Garanzia di rimborso in caso di problemi (protezione dell'acquirente)","Estremamente importante","Ricevere suggerimenti per venditori che si trovano nella mia area geografica","Assente",""
"2025/12/11 2:49:18 PM CET","Studente","Abbastanza interessato/a","Studio/Preparazione alle lezioni;Ricerca e approfondimento personale","Molto importante","Si, senza problemi","Ebook scolastici o accademici;Riviste, quotidiani o articoli digitali","Molto utile","Settimanale","FAQ e guide on-line","Un servizio utile","Possibilità di creare liste o preferiti","Mercatini dell'usato/Librerie fisiche","Molto interessato/a","Non ho un aspettativa precisa","Si, purché sia una percentuale bassa (es. inferiore al 5%)","È indifferente","Sistema di valutazione/feedback sugli utenti (acquirenti e venditori)","Abbastanza importante","Ricevere suggerimenti per venditori che si trovano nella mia area geografica","Alta",""
"2025/12/11 3:31:05 PM CET","Studente","Poco interessato/a","Acquisto/Vendita di libri","Molto importante","Forse","Ebook scolastici o accademici;Dispense o materiali prodotti dall'istituto","Abbastanza utile","Mensile","Assistenza immediata via chat","Un servizio utile","Accesso rapido ai materiali scolastici/didattici","Passaparola tra amici, colleghi o conoscenti della scuola","Abbastanza interessato/a","Dal 31% al 50% di sconto","No, preferirei che il servizio fosse completamente gratuito per gli utenti","Spedizione a domicilio tracciata (corriere/Poste)","Garanzia di rimborso in caso di problemi (protezione dell'acquirente)","Estremamente importante","Ricevere suggerimenti per venditori che si trovano nella mia area geografica","Bassa","no"
"2025/12/11 3:36:32 PM CET","Studente","Abbastanza interessato/a","Studio/Preparazione alle lezioni;Ricerca e approfondimento personale","Abbastanza importante","Si, senza problemi","Ebook scolastici o accademici;Dispense o materiali prodotti dall'istituto","Abbastanza utile","Mensile","Assistenza tramite email","Un servizio utile","Accesso rapido ai materiali scolastici/didattici","Mercatini dell'usato/Librerie fisiche","Poco interessato/a","Non ho un aspettativa precisa","No, preferirei che il servizio fosse completamente gratuito per gli utenti","Spedizione a domicilio tracciata (corriere/Poste)","Garanzia di rimborso in caso di problemi (protezione dell'acquirente)","Abbastanza importante","Ricevere un avviso via email/sms quando un utente lo mette in vendita (notifica)","Media",""
"2025/12/11 3:39:20 PM CET","Studente","Abbastanza interessato/a","Acquisto/Vendita di libri","Poco importante","Si, senza problemi","Riviste, quotidiani o articoli digitali","Abbastanza utile","Raramente o mai","Assistenza immediata via chat","Un servizio utile","Accesso rapido ai materiali scolastici/didattici","Non acquisto/vendo libri usati","Molto interessato/a","Oltre il 50% di sconto","No, preferirei che il servizio fosse completamente gratuito per gli utenti","È indifferente","Descrizione dettagliata e foto delle condizioni reali del libro","Molto importante","Ricevere un avviso via email/sms quando un utente lo mette in vendita (notifica)","Alta",""
"2025/12/11 3:43:39 PM CET","Docente","Abbastanza interessato/a","Aggiornamento professionale;Ricerca e approfondimento personale","Molto importante","Si, senza problemi","Ebook scolastici o accademici;Riviste, quotidiani o articoli digitali","Molto utile","Settimanale","Assistenza tramite email","Un grande miglioramento","Accesso rapido ai materiali scolastici/didattici","Non acquisto/vendo libri usati","Abbastanza interessato/a","Non ho un aspettativa precisa","No, preferirei che il servizio fosse completamente gratuito per gli utenti","Spedizione a domicilio tracciata (corriere/Poste)","Descrizione dettagliata e foto delle condizioni reali del libro","Molto importante","Ricevere un avviso via email/sms quando un utente lo mette in vendita (notifica)","Media",""
"2025/12/11 3:45:59 PM CET","Studente","Molto interessato/a","Studio/Preparazione alle lezioni;Aggiornamento professionale","Abbastanza importante","Si, senza problemi","Ebook scolastici o accademici;Riviste, quotidiani o articoli digitali","Molto utile","Quotidiana","Assistenza immediata via chat","Un grande miglioramento","Accesso rapido ai materiali scolastici/didattici","Gruppi social (Facebook, Telegram o Instagram) o piattaforme generiche (Subito, Ebay o Amazon)","Abbastanza interessato/a","Oltre il 50% di sconto","Si, purché sia una percentuale bassa (es. inferiore al 5%)","Spedizione a domicilio tracciata (corriere/Poste)","Garanzia di rimborso in caso di problemi (protezione dell'acquirente)","Estremamente importante","Ricevere un avviso via email/sms quando un utente lo mette in vendita (notifica)","Alta",""
"2025/12/11 3:46:45 PM CET","Docente","Molto interessato/a","Studio/Preparazione alle lezioni;Aggiornamento professionale","Molto importante","Si, senza problemi","Ebook scolastici o accademici","Molto utile","Quotidiana","Nessuna assistenza necessaria","Un grande miglioramento","Ricerca avanzata dei contenuti","Non acquisto/vendo libri usati","Estremamente interessato/a","Non ho un aspettativa precisa","No, preferirei che il servizio fosse completamente gratuito per gli utenti","È indifferente","Ricerca per codice ISBN (codice numerico posto sotto al codice a barre) e titolo","Estremamente importante","Ricevere un avviso via email/sms quando un utente lo mette in vendita (notifica)","Media",""
"2025/12/11 3:57:43 PM CET","Studente","Abbastanza interessato/a","Acquisto/Vendita di libri","Abbastanza importante","Si, senza problemi","Audiolibri;Riviste, quotidiani o articoli digitali","Molto utile","Settimanale","Assistenza tramite email","Un servizio utile","Accesso rapido ai materiali scolastici/didattici","Mercatini dell'usato/Librerie fisiche","Molto interessato/a","Fino al 30% di sconto","Si, purché sia una percentuale bassa (es. inferiore al 5%)","È indifferente","Sistema di valutazione/feedback sugli utenti (acquirenti e venditori)","Molto importante","Ricevere un avviso via email/sms quando un utente lo mette in vendita (notifica)","Media","nient’altro "
"2025/12/11 4:05:42 PM CET","Studente","Abbastanza interessato/a","Studio/Preparazione alle lezioni;Acquisto/Vendita di libri","Abbastanza importante","Si, ma solo con pochi dati richiesti","Riviste, quotidiani o articoli digitali;Dispense o materiali prodotti dall'istituto","Abbastanza utile","Mensile","FAQ e guide on-line","Un servizio utile","Accesso rapido ai materiali scolastici/didattici","Passaparola tra amici, colleghi o conoscenti della scuola","Abbastanza interessato/a","Dal 31% al 50% di sconto","Si, purché sia una percentuale bassa (es. inferiore al 5%)","È indifferente","Descrizione dettagliata e foto delle condizioni reali del libro","Molto importante","Ricevere suggerimenti per venditori che si trovano nella mia area geografica","Alta",""
"2025/12/11 4:07:57 PM CET","Docente","Abbastanza interessato/a","Studio/Preparazione alle lezioni;Ricerca e approfondimento personale","Molto importante","Forse","Ebook scolastici o accademici;Audiolibri","Abbastanza utile","Mensile","Assistenza tramite email","Un servizio utile","Accesso rapido ai materiali scolastici/didattici","Non acquisto/vendo libri usati","Poco interessato/a","Non ho un aspettativa precisa","No, preferirei che il servizio fosse completamente gratuito per gli utenti","È indifferente","Descrizione dettagliata e foto delle condizioni reali del libro","Abbastanza importante","Non ho bisogno di questa funzionalità","Media","no"
"2025/12/11 4:13:43 PM CET","Studente","Molto interessato/a","Studio/Preparazione alle lezioni","Abbastanza importante","Si, senza problemi","Riviste, quotidiani o articoli digitali","Abbastanza utile","Settimanale","Assistenza immediata via chat","Un grande miglioramento","Ricerca avanzata dei contenuti","Gruppi social (Facebook, Telegram o Instagram) o piattaforme generiche (Subito, Ebay o Amazon)","Abbastanza interessato/a","Non ho un aspettativa precisa","Si, purché sia una percentuale bassa (es. inferiore al 5%)","Ritiro a mano (in zona/concordato col venditore)","Descrizione dettagliata e foto delle condizioni reali del libro","Abbastanza importante","Ricevere un avviso via email/sms quando un utente lo mette in vendita (notifica)","Bassa","no"
"2025/12/11 4:26:24 PM CET","Docente","Abbastanza interessato/a","Studio/Preparazione alle lezioni","Abbastanza importante","Si, ma solo con pochi dati richiesti","Ebook scolastici o accademici","Abbastanza utile","Mensile","Assistenza tramite email","Un servizio utile","Ricerca avanzata dei contenuti","Non acquisto/vendo libri usati","Per niente interessato/a","Oltre il 50% di sconto","No, preferirei che il servizio fosse completamente gratuito per gli utenti","Ritiro a mano (in zona/concordato col venditore)","Ricerca per codice ISBN (codice numerico posto sotto al codice a barre) e titolo","Molto importante","Ricevere un avviso via email/sms quando un utente lo mette in vendita (notifica)","Alta",""
