"Informazioni cronologiche","A quale categoria appartieni?","Quanto saresti interessato/a ad avere accesso a una biblioteca digitale?","Per quali finalità useresti maggiormente la biblioteca digitale?","Quanto è importante per te poter accedere ai contenuti da qualsiasi dispositivo (computer, tablet, smartphone)?","Saresti disposto/a a registrarti con un account scolastico per accedere ai servizi digitali?","Quali contenuti riterresti più utili?","Quanto troveresti utile poter prendere in prestito libri digitali direttamente da casa?","Quale sarebbe la tua frequenza d’uso della biblioteca digitale?","Che livello di assistenza ti aspetteresti dalla biblioteca digitale?","Come giudichi la possibilità di affiancare la biblioteca digitale a quella tradizionale?","Quali funzionalità considereresti più importanti?","Attualmente, come acquisti o vendi principalmente i libri scolastici usati?","Quanto saresti interessato/a a utilizzare una piattaforma online specializzata solo per la compravendita di libri scolastici usati?","Quanto saresti disposto/a a risparmiare sull'acquisto di un libro usato rispetto al prezzo di copertina (nuovo)?","Saresti disposto/a a pagare una piccola commissione sul prezzo di vendita/acquisto per usufruire delle garanzie e dei servizi del sito (es. assistenza clienti o transazione sicura)?","Quale metodo di consegna/ritiro preferisci per le transazioni online?","Quale di queste funzionalità è la più importante per te in un sito di libri usati? ","Quanto è importante che il sito ti permetta di filtrare i libri per la tua specifica scuola, classe o indirizzo di studio?
"2025/12/11 4:30:00 PM CET","Studente","Molto interessato/a","Studio/Preparazione alle lezioni;Acquisto/Vendita di libri","Abbastanza importante","Si, senza problemi","Ebook scolastici o accademici;Dispense o materiali prodotti dall'istituto","Molto utile","Mensile","Assistenza immediata via chat","Un grande miglioramento","Accesso rapido ai materiali scolastici/didattici","Mercatini dell'usato/Librerie fisiche","Molto interessato/a","Non ho un aspettativa precisa","No, preferirei che il servizio fosse completamente gratuito per gli utenti","Ritiro a mano (in zona/concordato col venditore)","Descrizione dettagliata e foto delle condizioni reali del libro","Estremamente importante","Ricevere un avviso via email/sms quando un utente lo mette in vendita (notifica)","Alta","No grazie."
"2025/12/11 4:39:20 PM CET","Docente","Abbastanza interessato/a","Studio/Preparazione alle lezioni;Aggiornamento professionale","Abbastanza importante","Forse","Ebook scolastici o accademici;Audiolibri","Abbastanza utile","Mensile","Assistenza immediata via chat","Un servizio utile","Accesso rapido ai materiali scolastici/didattici","Mercatini dell'usato/Librerie fisiche","Per niente interessato/a","Non ho un aspettativa precisa","Si, purché sia una percentuale bassa (es. inferiore al 5%)","Spedizione a domicilio tracciata (corriere/Poste)","Garanzia di rimborso in caso di problemi (protezione dell'acquirente)","Abbastanza importante","Ricevere un avviso via email/sms quando un utente lo mette in vendita (notifica)","Alta",""
"2025/12/11 4:44:28 PM CET","Studente","Poco interessato/a","Studio/Preparazione alle lezioni;Acquisto/Vendita di libri","Abbastanza importante","Forse","Dispense o materiali prodotti dall'istituto","Molto utile","Raramente o mai","Assistenza immediata via chat","Un servizio utile","Accesso rapido ai materiali scolastici/didattici","Non acquisto/vendo libri usati","Abbastanza interessato/a","Non ho un aspettativa precisa","No, preferirei che il servizio fosse completamente gratuito per gli utenti","Ritiro a mano (in zona/concordato col venditore)","Descrizione dettagliata e foto delle condizioni reali del libro","Estremamente importante","Ricevere suggerimenti per venditori che si trovano nella mia area geografica","Bassa","No "
"2025/12/11 4:48:23 PM CET","Studente","Molto interessato/a","Ricerca e approfondimento personale","Abbastanza importante","Si, ma solo con pochi dati richiesti","Ebook scolastici o accademici;Audiolibri","Abbastanza utile","Settimanale","Assistenza tramite email","Un servizio utile","Ricerca avanzata dei contenuti","Passaparola tra amici, colleghi o conoscenti della scuola","Molto interessato/a","Dal 31% al 50% di sconto","Si, purché sia una percentuale bassa (es. inferiore al 5%)","È indifferente","Descrizione dettagliata e foto delle condizioni reali del libro","Molto importante","Ricevere suggerimenti per venditori che si trovano nella mia area geografica","Media",""
"2025/12/11 5:05:40 PM CET","Docente","Abbastanza interessato/a","Studio/Preparazione alle lezioni;Ricerca e approfondimento personale","Molto importante","Si, senza problemi","Audiolibri;Riviste, quotidiani o articoli digitali","Molto utile","Mensile","FAQ e guide on-line","Un servizio utile","Ricerca avanzata dei contenuti","Non acquisto/vendo libri usati","Poco interessato/a","Non ho un aspettativa precisa","No, preferirei che il servizio fosse completamente gratuito per gli utenti","Ritiro a mano (in zona/concordato col venditore)","Garanzia di rimborso in caso di problemi (protezione dell'acquirente)","Molto importante","Ricevere suggerimenti per venditori che si trovano nella mia area geografica","Bassa",""
"2025/12/11 5:26:47 PM CET","Studente","Abbastanza interessato/a","Studio/Preparazione alle lezioni;Ricerca e approfondimento personale","Molto importante","Si, senza problemi","Ebook scolastici o accademici;Riviste, quotidiani o articoli digitali","Molto utile","Mensile","Assistenza immediata via chat","Un servizio utile","Accesso rapido ai materiali scolastici/didattici","Mercatini dell'usato/Librerie fisiche","Abbastanza interessato/a","Dal 31% al 50% di sconto","No, preferirei che il servizio fosse completamente gratuito per gli utenti","Ritiro a mano (in zona/concordato col venditore)","Garanzia di rimborso in caso di problemi (protezione dell'acquirente)","Abbastanza importante","Ricevere un avviso via email/sms quando un utente lo mette in vendita (notifica)","Media",""
"2025/12/11 5:28:00 PM CET","Studente","Poco interessato/a","Non la utilizzerei","Molto importante","Si, senza problemi","Riviste, quotidiani o articoli digitali","Molto utile","Raramente o mai","Nessuna assistenza necessaria","Non necessario","Accesso rapido ai materiali scolastici/didattici","Gruppi social (Facebook, Telegram o Instagram) o piattaforme generiche (Subito, Ebay o Amazon)","Estremamente interessato/a","Oltre il 50% di sconto","Si, purché sia una percentuale bassa (es. inferiore al 5%)","Spedizione a domicilio tracciata (corriere/Poste)","Descrizione dettagliata e foto delle condizioni reali del libro","Molto importante","Ricevere suggerimenti per venditori che si trovano nella mia area geografica","Alta","no"
"2025/12/11 5:30:10 PM CET","Studente","Molto interessato/a","Studio/Preparazione alle lezioni;Ricerca e approfondimento personale","Molto importante","Si, senza problemi","Ebook scolastici o accademici;Dispense o materiali prodotti dall'istituto","Molto utile","Settimanale","Assistenza tramite email","Un grande miglioramento","Accesso rapido ai materiali scolastici/didattici","Mercatini dell'usato/Librerie fisiche","Estremamente interessato/a","Dal 31% al 50% di sconto","No, preferirei che il servizio fosse completamente gratuito per gli utenti","Utilizzo di punti ritiro/locker automatici","Descrizione dettagliata e foto delle condizioni reali del libro","Estremamente importante","Ricevere suggerimenti per venditori che si trovano nella mia area geografica","Media",""
"2025/12/11 5:33:27 PM CET","Studente","Abbastanza interessato/a","Studio/Preparazione alle lezioni;Ricerca e approfondimento personale","Molto importante","Si, ma solo con pochi dati richiesti","Ebook scolastici o accademici","Molto utile","Mensile","Assistenza tramite email","Un servizio utile","Possibilità di creare liste o preferiti","Non acquisto/vendo libri usati","Abbastanza interessato/a","Non ho un aspettativa precisa","Si, anche con una commissione moderata (es. 5-10%)","È indifferente","Ricerca per codice ISBN (codice numerico posto sotto al codice a barre) e titolo","Estremamente importante","Ricevere un avviso via email/sms quando un utente lo mette in vendita (notifica)","Alta",""
"2025/12/11 6:02:55 PM CET","Studente","Poco interessato/a","Ricerca e approfondimento personale;Non la utilizzerei","Abbastanza importante","Si, ma solo con pochi dati richiesti","Dispense o materiali prodotti dall'istituto","Abbastanza utile","Settimanale","Assistenza immediata via chat","Un servizio utile","Accesso rapido ai materiali scolastici/didattici","Passaparola tra amici, colleghi o conoscenti della scuola","Poco interessato/a","Dal 31% al 50% di sconto","Si, purché sia una percentuale bassa (es. inferiore al 5%)","Ritiro a mano (in zona/concordato col venditore)","Sistema di valutazione/feedback sugli utenti (acquirenti e venditori)","Molto importante","Ricevere suggerimenti per venditori che si trovano nella mia area geografica","Media",""
"2025/12/11 6:05:28 PM CET","Studente","Per niente interessato/a","Non la utilizzerei","Abbastanza importante","Si, senza problemi","Audiolibri","Molto utile","Raramente o mai","Assistenza immediata via chat","Un servizio utile","Accesso rapido ai materiali scolastici/didattici","Passaparola tra amici, colleghi o conoscenti della scuola","Abbastanza interessato/a","Dal 31% al 50% di sconto","Si, purché sia una percentuale bassa (es. inferiore al 5%)","È indifferente","Garanzia di rimborso in caso di problemi (protezione dell'acquirente)","Abbastanza importante","Ricevere un avviso via email/sms quando un utente lo mette in vendita (notifica)","Bassa",""
"2025/12/11 6:07:50 PM CET","Studente","Abbastanza interessato/a","Ricerca e approfondimento personale","Abbastanza importante","Si, ma solo con pochi dati richiesti","Riviste, quotidiani o articoli digitali","Abbastanza utile","Mensile","FAQ e guide on-line","Un servizio utile","Ricerca avanzata dei contenuti","Non acquisto/vendo libri usati","Poco interessato/a","Non ho un aspettativa precisa","No, preferirei che il servizio fosse completamente gratuito per gli utenti","È indifferente","Descrizione dettagliata e foto delle condizioni reali del libro","Abbastanza importante","Ricevere suggerimenti per venditori che si trovano nella mia area geografica","Bassa",""
"2025/12/11 6:39:23 PM CET","Docente","Molto interessato/a","Aggiornamento professionale;Ricerca e approfondimento personale","Molto importante","Si, senza problemi","Riviste, quotidiani o articoli digitali;Dispense o materiali prodotti dall'istituto","Molto utile","Settimanale","Assistenza immediata via chat","Un servizio utile","Accesso rapido ai materiali scolastici/didattici","Non acquisto/vendo libri usati","Abbastanza interessato/a","Oltre il 50% di sconto","Si, purché sia una percentuale bassa (es. inferiore al 5%)","Spedizione a domicilio tracciata (corriere/Poste)","Garanzia di rimborso in caso di problemi (protezione dell'acquirente)","Molto importante","Ricevere un avviso via email/sms quando un utente lo mette in vendita (notifica)","Media",""
"2025/12/11 6:52:47 PM CET","Studente","Molto interessato/a","Ricerca e approfondimento personale","Molto importante","Si, senza problemi","Dispense o materiali prodotti dall'istituto","Molto utile","Mensile","Assistenza tramite email","Un servizio utile","Ricerca avanzata dei contenuti","Applicazioni per la vendita di usato","Molto interessato/a","Non ho un aspettativa precisa","Si, purché sia una percentuale bassa (es. inferiore al 5%)","Spedizione a domicilio tracciata (corriere/Poste)","Descrizione dettagliata e foto delle condizioni reali del libro","Estremamente importante","Ricevere un avviso via email/sms quando un utente lo mette in vendita (notifica)","Media",""
"2025/12/11 7:07:23 PM CET","Docente","Abbastanza interessato/a","Ricerca e approfondimento personale","Abbastanza importante","Si, ma solo con pochi dati richiesti","Ebook scolastici o accademici","Abbastanza utile","Raramente o mai","FAQ e guide on-line","Un servizio utile","Ricerca avanzata dei contenuti","Non acquisto/vendo libri usati","Per niente interessato/a","Non ho un aspettativa precisa","No, preferirei che il servizio fosse completamente gratuito per gli utenti","Utilizzo di punti ritiro/locker automatici","Garanzia di rimborso in caso di problemi (protezione dell'acquirente)","Molto importante","Non ho bisogno di questa funzionalità","Assente",""
"2025/12/11 7:14:18 PM CET","Studente","Molto interessato/a","Studio/Preparazione alle lezioni;Ricerca e approfondimento personale","Abbastanza importante","Si, senza problemi","Ebook scolastici o accademici;Riviste, quotidiani o articoli digitali","Molto utile","Settimanale","Assistenza immediata via chat","Indifferente","Accesso rapido ai materiali scolastici/didattici","Mercatini dell'usato/Librerie fisiche","Molto interessato/a","Fino al 30% di sconto","Si, purché sia una percentuale bassa (es. inferiore al 5%)","Ritiro a mano (in zona/concordato col venditore)","Ricerca per codice ISBN (codice numerico posto sotto al codice a barre) e titolo","Estremamente importante","Ricevere un avviso via email/sms quando un utente lo mette in vendita (notifica)","Bassa",""
"2025/12/11 7:26:20 PM CET","Studente","Abbastanza interessato/a","Ricerca e approfondimento personale","Molto importante","Si, ma solo con pochi dati richiesti","Ebook scolastici o accademici;Riviste, quotidiani o articoli digitali","Abbastanza utile","Settimanale","FAQ e guide on-line","Un grande miglioramento","Accesso rapido ai materiali scolastici/didattici","Non acquisto/vendo libri usati","Poco interessato/a","Non ho un aspettativa precisa","No, preferirei che il servizio fosse completamente gratuito per gli utenti","È indifferente","Garanzia di rimborso in caso di problemi (protezione dell'acquirente)","Abbastanza importante","Non ho bisogno di questa funzionalità","Assente","Fate un sito?"
"2025/12/11 7:30:32 PM CET","Studente","Abbastanza interessato/a","Studio/Preparazione alle lezioni;Ricerca e approfondimento personale","Molto importante","Si, senza problemi","Ebook scolastici o accademici;Audiolibri","Molto utile","Settimanale","Assistenza immediata via chat","Un servizio utile","Ricerca avanzata dei contenuti","Passaparola tra amici, colleghi o conoscenti della scuola","Molto interessato/a","Dal 31% al 50% di sconto","Si, purché sia una percentuale bassa (es. inferiore al 5%)","Spedizione a domicilio tracciata (corriere/Poste)","Descrizione dettagliata e foto delle condizioni reali del libro","Estremamente importante","Ricevere un avviso via email/sms quando un utente lo mette in vendita (notifica)","Media",""
"2025/12/11 7:42:29 PM CET","Studente","Poco interessato/a","Ricerca e approfondimento personale;Acquisto/Vendita di libri","Poco importante","Si, ma solo con pochi dati richiesti","Dispense o materiali prodotti dall'istituto","Abbastanza utile","Raramente o mai","Assistenza tramite email","Un servizio utile","Accesso rapido ai materiali scolastici/didattici","Non acquisto/vendo libri usati","Abbastanza interessato/a","Non ho un aspettativa precisa","No, preferirei che il servizio fosse completamente gratuito per gli utenti","Ritiro a mano (in zona/concordato col venditore)","Ricerca per codice ISBN (codice numerico posto sotto al codice a barre) e titolo","Poco importante","Ricevere un avviso via email/sms quando un utente lo mette in vendita (notifica)","Media",""
"2025/12/11 8:01:45 PM CET","Studente","Abbastanza interessato/a","Acquisto/Vendita di libri","Abbastanza importante","Si, senza problemi","Dispense o materiali prodotti dall'istituto","Molto utile","Settimanale","Assistenza immediata via chat","Un servizio utile","Accesso rapido ai materiali scolastici/didattici","Libraccio, compro e vendo","Molto interessato/a","Dal 31% al 50% di sconto","No, preferirei che il servizio fosse completamente gratuito per gli utenti","Spedizione a domicilio tracciata (corriere/Poste)","Ricerca per codice ISBN (codice numerico posto sotto al codice a barre) e titolo","Molto importante","Ricevere un avviso via email/sms quando un utente lo mette in vendita (notifica)","Media",""
"2025/12/11 8:29:01 PM CET","Docente","Abbastanza interessato/a","Studio/Preparazione alle lezioni;Aggiornamento professionale","Non è importante","Si, senza problemi","Ebook scolastici o accademici;Riviste, quotidiani o articoli digitali","Molto utile","Mensile","Assistenza tramite email","Un servizio utile","Ricerca avanzata dei contenuti","Gruppi social (Facebook, Telegram o Instagram) o piattaforme generiche (Subito, Ebay o Amazon)","Per niente interessato/a","Non ho un aspettativa precisa","Si, anche con una commissione moderata (es. 5-10%)","È indifferente","Garanzia di rimborso in caso di problemi (protezione dell'acquirente)","Per niente importante","Ricevere un avviso via email/sms quando un utente lo mette in vendita (notifica)","Alta",""
"2025/12/11 8:43:12 PM CET","Docente","Abbastanza interessato/a","Ricerca e approfondimento personale","Poco importante","Si, senza problemi","Riviste, quotidiani o articoli digitali","Abbastanza utile","Mensile","Assistenza tramite email","Un servizio utile","Accesso rapido ai materiali scolastici/didattici","Non acquisto/vendo libri usati","Molto interessato/a","Fino al 30% di sconto","Si, purché sia una percentuale bassa (es. inferiore al 5%)","Utilizzo di punti ritiro/locker automatici","Ricerca per codice ISBN (codice numerico posto sotto al codice a barre) e titolo","Molto importante","Ricevere un avviso via email/sms quando un utente lo mette in vendita (notifica)","Bassa",""
"2025/12/11 8:50:08 PM CET","Studente","Abbastanza interessato/a","Studio/Preparazione alle lezioni","Molto importante","Si, ma solo con pochi dati richiesti","Ebook scolastici o accademici;Audiolibri","Molto utile","Quotidiana","Assistenza tramite email","Un servizio utile","Accesso rapido ai materiali scolastici/didattici","Non acquisto/vendo libri usati","Abbastanza interessato/a","Fino al 30% di sconto","Si, purché sia una percentuale bassa (es. inferiore al 5%)","Spedizione a domicilio tracciata (corriere/Poste)","Descrizione dettagliata e foto delle condizioni reali del libro","Molto importante","Ricevere un avviso via email/sms quando un utente lo mette in vendita (notifica)","Media",""
"2025/12/11 8:50:28 PM CET","Studente","Abbastanza interessato/a","Studio/Preparazione alle lezioni","Poco importante","Forse","Audiolibri;Dispense o materiali prodotti dall'istituto","Abbastanza utile","Mensile","Assistenza immediata via chat","Un servizio utile","Accesso rapido ai materiali scolastici/didattici","Non acquisto/vendo libri usati","Abbastanza interessato/a","Dal 31% al 50% di sconto","No, preferirei che il servizio fosse completamente gratuito per gli utenti","Spedizione a domicilio tracciata (corriere/Poste)","Descrizione dettagliata e foto delle condizioni reali del libro","Abbastanza importante","Ricevere un avviso via email/sms quando un utente lo mette in vendita (notifica)","Media",""
"2025/12/11 9:09:49 PM CET","Studente","Molto interessato/a","Studio/Preparazione alle lezioni;Aggiornamento professionale","Abbastanza importante","Si, ma solo con pochi dati richiesti","Audiolibri","Molto utile","Settimanale","Assistenza immediata via chat","Un servizio utile","Accesso rapido ai materiali scolastici/didattici","Passaparola tra amici, colleghi o conoscenti della scuola","Abbastanza interessato/a","Non ho un aspettativa precisa","No, preferirei che il servizio fosse completamente gratuito per gli utenti","Ritiro a mano (in zona/concordato col venditore)","Garanzia di rimborso in caso di problemi (protezione dell'acquirente)","Abbastanza importante","Non ho bisogno di questa funzionalità","Bassa",""
"2025/12/11 9:26:28 PM CET","Docente","Poco interessato/a","Ricerca e approfondimento personale","Poco importante","Forse","Riviste, quotidiani o articoli digitali","Per nulla utile","Raramente o mai","Nessuna assistenza necessaria","Un servizio utile","Possibilità di creare liste o preferiti","Non acquisto/vendo libri usati","Poco interessato/a","Non ho un aspettativa precisa","No, preferirei che il servizio fosse completamente gratuito per gli utenti","È indifferente","Sistema di valutazione/feedback sugli utenti (acquirenti e venditori)","Molto importante","Ricevere un avviso via email/sms quando un utente lo mette in vendita (notifica)","Assente",""
"2025/12/11 9:51:18 PM CET","Studente","Abbastanza interessato/a","Studio/Preparazione alle lezioni","Molto importante","Si, senza problemi","Ebook scolastici o accademici;Audiolibri","Molto utile","Settimanale","Assistenza tramite email","Un grande miglioramento","Accesso rapido ai materiali scolastici/didattici","Passaparola tra amici, colleghi o conoscenti della scuola","Estremamente interessato/a","Dal 31% al 50% di sconto","Si, anche con una commissione moderata (es. 5-10%)","È indifferente","Descrizione dettagliata e foto delle condizioni reali del libro","Estremamente importante","Ricevere suggerimenti per venditori che si trovano nella mia area geografica","Alta","prendere in considerazione la possibilità di comprare libri scolastici e ritirarli a scuola,  possibilita di acquistare piu quantità dello stesso libro, trasparenza durante la vendita e possibilità di rimborso in caso di errori o problemi vari"
"2025/12/11 10:08:17 PM CET","Docente","Molto interessato/a","Studio/Preparazione alle lezioni;Ricerca e approfondimento personale","Molto importante","Si, senza problemi","Ebook scolastici o accademici","Molto utile","Settimanale","Assistenza immediata via chat","Un grande miglioramento","Accesso rapido ai materiali scolastici/didattici","Non acquisto/vendo libri usati","Poco interessato/a","Non ho un aspettativa precisa","No, preferirei che il servizio fosse completamente gratuito per gli utenti","È indifferente","Ricerca per codice ISBN (codice numerico posto sotto al codice a barre) e titolo","Molto importante","Non ho bisogno di questa funzionalità","Alta","Alcune risposte sono state date perché obbligatorie ma come docente non acquisto/vendo testi scolastici usati"
"2025/12/11 10:17:58 PM CET","Studente","Abbastanza interessato/a","Studio/Preparazione alle lezioni;Acquisto/Vendita di libri","Molto importante","Si, senza problemi","Ebook scolastici o accademici;Dispense o materiali prodotti dall'istituto","Abbastanza utile","Mensile","Assistenza tramite email","Un servizio utile","Accesso rapido ai materiali scolastici/didattici","Non acquisto/vendo libri usati","Molto interessato/a","Non ho un aspettativa precisa","Si, purché sia una percentuale bassa (es. inferiore al 5%)","Utilizzo di punti ritiro/locker automatici","Descrizione dettagliata e foto delle condizioni reali del libro","Abbastanza importante","Ricevere suggerimenti per venditori che si trovano nella mia area geografica","Media",""
"2025/12/11 10:20:46 PM CET","Studente","Molto interessato/a","Studio/Preparazione alle lezioni;Acquisto/Vendita di libri","Molto importante","Si, ma solo con pochi dati richiesti","Ebook scolastici o accademici;Dispense o materiali prodotti dall'istituto","Molto utile","Mensile","Assistenza tramite email","Un servizio utile","Accesso rapido ai materiali scolastici/didattici","Non acquisto/vendo libri usati","Molto interessato/a","Non ho un aspettativa precisa","Si, purché sia una percentuale bassa (es. inferiore al 5%)","Utilizzo di punti ritiro/locker automatici","Descrizione dettagliata e foto delle condizioni reali del libro","Abbastanza importante","Ricevere suggerimenti per venditori che si trovano nella mia area geografica","Media",""
"2025/12/11 10:31:42 PM CET","Studente","Abbastanza interessato/a","Studio/Preparazione alle lezioni;Acquisto/Vendita di libri","Abbastanza importante","Si, ma solo con pochi dati richiesti","Ebook scolastici o accademici","Molto utile","Raramente o mai","Assistenza tramite email","Un servizio utile","Accesso rapido ai materiali scolastici/didattici","Passaparola tra amici, colleghi o conoscenti della scuola","Abbastanza interessato/a","Non ho un aspettativa precisa","Si, purché sia una percentuale bassa (es. inferiore al 5%)","Utilizzo di punti ritiro/locker automatici","Descrizione dettagliata e foto delle condizioni reali del libro","Molto importante","Ricevere suggerimenti per venditori che si trovano nella mia area geografica","Media",""
"2025/12/11 11:24:01 PM CET","Studente","Abbastanza interessato/a","Acquisto/Vendita di libri","Abbastanza importante","Si, senza problemi","Riviste, quotidiani o articoli digitali;Dispense o materiali prodotti dall'istituto","Molto utile","Mensile","Assistenza immediata via chat","Un grande miglioramento","Accesso rapido ai materiali scolastici/didattici","Gruppi social (Facebook, Telegram o Instagram) o piattaforme generiche (Subito, Ebay o Amazon)","Abbastanza interessato/a","Oltre il 50% di sconto","No, preferirei che il servizio fosse completamente gratuito per gli utenti","Spedizione a domicilio tracciata (corriere/Poste)","Garanzia di rimborso in caso di problemi (protezione dell'acquirente)","Estremamente importante","Ricevere un avviso via email/sms quando un utente lo mette in vendita (notifica)","Media","no "
"2025/12/12 8:51:05 AM CET","Studente","Poco interessato/a","Studio/Preparazione alle lezioni;Non la utilizzerei","Poco importante","Si, senza problemi","Ebook scolastici o accademici","Poco utile","Mensile","FAQ e guide on-line","Indifferente","Possibilità di creare liste o preferiti","Passaparola tra amici, colleghi o conoscenti della scuola","Poco interessato/a","Oltre il 50% di sconto","Si, anche con una commissione moderata (es. 5-10%)","Utilizzo di punti ritiro/locker automatici","Sistema di valutazione/feedback sugli utenti (acquirenti e venditori)","Poco importante","Ricevere suggerimenti per venditori che si trovano nella mia area geografica","Bassa","No"
"2025/12/12 10:12:17 AM CET","Docente","Molto interessato/a","Aggiornamento professionale","Molto importante","Si, ma solo con pochi dati richiesti","Ebook scolastici o accademici;Dispense o materiali prodotti dall'istituto","Molto utile","Settimanale","Assistenza tramite email","Un servizio utile","Accesso rapido ai materiali scolastici/didattici","Non acquisto/vendo libri usati","Per niente interessato/a","Non ho un aspettativa precisa","No, preferirei che il servizio fosse completamente gratuito per gli utenti","Utilizzo di punti ritiro/locker automatici","Ricerca per codice ISBN (codice numerico posto sotto al codice a barre) e titolo","Molto importante","Ricevere un avviso via email/sms quando un utente lo mette in vendita (notifica)","Media",""
"2025/12/12 10:31:44 AM CET","Studente","Abbastanza interessato/a","Studio/Preparazione alle lezioni","Abbastanza importante","Si, ma solo con pochi dati richiesti","Ebook scolastici o accademici;Dispense o materiali prodotti dall'istituto","Molto utile","Mensile","Assistenza tramite email","Un servizio utile","Accesso rapido ai materiali scolastici/didattici","Mercatini dell'usato/Librerie fisiche","Abbastanza interessato/a","Dal 31% al 50% di sconto","No, preferirei che il servizio fosse completamente gratuito per gli utenti","È indifferente","Ricerca per codice ISBN (codice numerico posto sotto al codice a barre) e titolo","Abbastanza importante","Ricevere suggerimenti per venditori che si trovano nella mia area geografica","Media",""
"2025/12/12 12:06:50 PM CET","Personale ATA","Abbastanza interessato/a","Ricerca e approfondimento personale","Abbastanza importante","Si, senza problemi","Audiolibri;Riviste, quotidiani o articoli digitali","Molto utile","Mensile","FAQ e guide on-line","Un servizio utile","Ricerca avanzata dei contenuti","Mercatini dell'usato/Librerie fisiche","Abbastanza interessato/a","Oltre il 50% di sconto","No, preferirei che il servizio fosse completamente gratuito per gli utenti","Utilizzo di punti ritiro/locker automatici","Ricerca per codice ISBN (codice numerico posto sotto al codice a barre) e titolo","Estremamente importante","Ricevere suggerimenti per venditori che si trovano nella mia area geografica","Bassa",""
"2025/12/12 12:10:40 PM CET","Personale ATA","Abbastanza interessato/a","Studio/Preparazione alle lezioni","Molto importante","Si, senza problemi","Audiolibri","Molto utile","Quotidiana","Assistenza immediata via chat","Un grande miglioramento","Accesso rapido ai materiali scolastici/didattici","Mercatini dell'usato/Librerie fisiche","Estremamente interessato/a","Fino al 30% di sconto","Si, anche con una commissione moderata (es. 5-10%)","Spedizione a domicilio tracciata (corriere/Poste)","Ricerca per codice ISBN (codice numerico posto sotto al codice a barre) e titolo","Estremamente importante","Ricevere un avviso via email/sms quando un utente lo mette in vendita (notifica)","Assente",""
"2025/12/12 2:04:18 PM CET","Docente","Abbastanza interessato/a","Ricerca e approfondimento personale","Molto importante","Si, senza problemi","Audiolibri;Riviste, quotidiani o articoli digitali","Abbastanza utile","Mensile","Assistenza immediata via chat","Un servizio utile","Possibilità di creare liste o preferiti","Non acquisto/vendo libri usati","Molto interessato/a","Dal 31% al 50% di sconto","Si, purché sia una percentuale bassa (es. inferiore al 5%)","Utilizzo di punti ritiro/locker automatici","Descrizione dettagliata e foto delle condizioni reali del libro","Abbastanza importante","Non ho bisogno di questa funzionalità","Bassa","no grazie"
"2025/12/12 5:18:05 PM CET","Studente","Poco interessato/a","Acquisto/Vendita di libri","Abbastanza importante","Si, ma solo con pochi dati richiesti","Audiolibri","Abbastanza utile","Raramente o mai","Assistenza immediata via chat","Indifferente","Possibilità di creare liste o preferiti","Gruppi social (Facebook, Telegram o Instagram) o piattaforme generiche (Subito, Ebay o Amazon)","Poco interessato/a","Non ho un aspettativa precisa","No, preferirei che il servizio fosse completamente gratuito per gli utenti","Spedizione a domicilio tracciata (corriere/Poste)","Garanzia di rimborso in caso di problemi (protezione dell'acquirente)","Molto importante","Ricevere un avviso via email/sms quando un utente lo mette in vendita (notifica)","Media",""
"2025/12/14 12:33:00 AM CET","Docente","Molto interessato/a","Studio/Preparazione alle lezioni;Aggiornamento professionale","Molto importante","Si, senza problemi","Audiolibri;Riviste, quotidiani o articoli digitali","Molto utile","Settimanale","Assistenza immediata via chat","Un grande miglioramento","Accesso rapido ai materiali scolastici/didattici","Passaparola tra amici, colleghi o conoscenti della scuola","Molto interessato/a","Dal 31% al 50% di sconto","Si, anche con una commissione moderata (es. 5-10%)","Spedizione a domicilio tracciata (corriere/Poste)","Descrizione dettagliata e foto delle condizioni reali del libro","Abbastanza importante","Ricevere un avviso via email/sms quando un utente lo mette in vendita (notifica)","Bassa",""
"2025/12/16 9:56:18 AM CET","Docente","Molto interessato/a","Aggiornamento professionale;Ricerca e approfondimento personale","Molto importante","Si, senza problemi","Ebook scolastici o accademici;Riviste, quotidiani o articoli digitali","Molto utile","Settimanale","Assistenza immediata via chat","Un servizio utile","Ricerca avanzata dei contenuti","Mercatini dell'usato/Librerie fisiche","Abbastanza interessato/a","Dal 31% al 50% di sconto","No, preferirei che il servizio fosse completamente gratuito per gli utenti","Utilizzo di punti ritiro/locker automatici","Ricerca per codice ISBN (codice numerico posto sotto al codice a barre) e titolo","Estremamente importante","Non ho bisogno di questa funzionalità","Media",""
"2025/12/16 12:28:27 PM CET","Docente","Molto interessato/a","Ricerca e approfondimento personale;Acquisto/Vendita di libri","Molto importante","Si, ma solo con pochi dati richiesti","Ebook scolastici o accademici;Audiolibri","Molto utile","Mensile","Assistenza tramite email","Un servizio utile","Accesso rapido ai materiali scolastici/didattici","Non acquisto/vendo libri usati","Molto interessato/a","Dal 31% al 50% di sconto","No, preferirei che il servizio fosse completamente gratuito per gli utenti","È indifferente","Ricerca per codice ISBN (codice numerico posto sotto al codice a barre) e titolo","Estremamente importante","Ricevere un avviso via email/sms quando un utente lo mette in vendita (notifica)","Alta","no"